image_name,image_path,food_category,image_category,food_ingredients,image_status,food_causes
CashewNutBiscuit,images/CashewNutBiscuit.jpeg,Biscuit,Packaging,"Fats, Unsaturated Fatty Acids, Saturated Fatty Acids, Protiens, Sodium",Healthy,No Issue
SunfeastMomsMagicBiscuit,images/SunfeastMomsMagicBiscuit.jpeg,Biscuit,Packaging,"Fats, Unsaturated Fatty Acids, Saturated Fatty Acids, Protiens, Sodium",Healthy,No Issue
2020CashewBiscuit,images/2020CashewBiscuit.jpeg,Biscuit,Packaging,"Fats, Unsaturated Fatty Acids, Saturated Fatty Acids, Protiens, Sodium",Healthy,No Issue
Cashew Biscuit,images/CashewCookiesBiscuit.jpeg,Biscuit,Packaging,"Fats, Unsaturated Fatty Acids, Saturated Fatty Acids, Protiens, Sodium",Healthy,No Issue
GoodDayBiscuit,images/GoodDayBiscuit.jpeg,Biscuit,Packaging,"Fats, Unsaturated Fatty Acids, Saturated Fatty Acids, Protiens, Sodium",Healthy,No Issue
TigerCreamBiscuit,images/TigerCreamBiscuit.jpeg,Biscuit,Packaging,"Fats, Unsaturated Fatty Acids, Saturated Fatty Acids, Protiens, Sodium",Healthy,No Issue
TigerCGlucoseBiscuit,images/TigerCGlucoseBiscuit.jpeg,Biscuit,Packaging,"Fats, Unsaturated Fatty Acids, Saturated Fatty Acids, Protiens, Sodium",Healthy,No Issue
TigerCrunchBiscuit,images/TigerCrunchBiscuit.jpeg,Biscuit,Packaging,"Fats, Unsaturated Fatty Acids, Saturated Fatty Acids, Protiens, Sodium",Healthy,No Issue
MariegoldBiscuit,images/MariegoldBiscuit.jpeg,Biscuit,Packaging,"Fats, Unsaturated Fatty Acids, Saturated Fatty Acids, Protiens, Sodium",Healthy,No Issue
Parle_gBiscuit,images/Parle_gBiscuit.jpeg,Biscuit,Packaging,"Wheat flour, Sugar, RBD palm oil, Invert Syrup, Leavening Salt, Skin Milk Powder, Artificial Vanilla Flavors, Emulsifiers of vegetable Origin and Sodium Meta Bisulphite as Preservative. '",Healthy,No Issue
Potatabiscuit,images/Potatabiscuit.jpeg,Biscuit,Packaging,"Wheat flour, Sugar, RBD palm oil, Invert Syrup, Leavening Salt, Skin Milk Powder, Artificial Vanilla Flavors, Emulsifiers of vegetable Origin and Sodium Meta Bisulphite as Preservative. '",Healthy,No Issue
DigestiveBiscuit,images/DigestiveBiscuit.jpeg,Biscuit,Packaging,"Wheat flour, Sugar, RBD palm oil, Invert Syrup, Leavening Salt, Skin Milk Powder, Artificial Vanilla Flavors, Emulsifiers of vegetable Origin and Sodium Meta Bisulphite as Preservative. '",Healthy,No Issue
BourbonBiscuit,images/BourbonBiscuit.jpeg,Biscuit,Packaging,"Wheat flour, Sugar, RBD palm oil, Invert Syrup, Leavening Salt, Skin Milk Powder, Artificial Vanilla Flavors, Emulsifiers of vegetable Origin and Sodium Meta Bisulphite as Preservative. '",Healthy,No Issue
YummyBiscuit,images/YummyBiscuit.jpeg,Biscuit,Packaging,"Wheat flour, Sugar, RBD palm oil, Invert Syrup, Leavening Salt, Skin Milk Powder, Artificial Vanilla Flavors, Emulsifiers of vegetable Origin and Sodium Meta Bisulphite as Preservative. '",Healthy,No Issue
CadbuaryHotChocolate,images/CadbuaryHotChocolate.jpeg,Chocolate,Packaging,"Sugar, Milk Solids, Cocoa Butter, Raisins, Cocoa Solids, Cashew Nuts, Aprekot Kernals, Emulsifiers, Artificial Flavours, Artificial Venilla.",Unhealthy,Dental Problem
MolfieCandy,images/MolfieCandy.jpeg,Chocolate,Packaging,"Sugar, Milk Solids, Cocoa Butter, Raisins, Cocoa Solids, Cashew Nuts, Aprekot Kernals, Emulsifiers, Artificial Flavours, Artificial Venilla.",Unhealthy,Dental Problem
DairyMilkChocolate,images/DairyMilkChocolate.jpeg,Chocolate,Packaging,"Sugar, Milk Solids, Cocoa Butter, Raisins, Cocoa Solids, Cashew Nuts, Aprekot Kernals, Emulsifiers, Artificial Flavours, Artificial Venilla.",Unhealthy,Dental Problem
AavaSparklingWater,images/AavaSparklingWater.jpeg,Water Bottle,Packaging,"Magnisium Sulphate, Potassium Bicarbonate, Potassium Chloride.",Healthy,Liver Cancer
KinleyWaterBottle,images/KinleyWaterBottle.jpeg,Water Bottle,Packaging,"Magnisium Sulphate, Potassium Bicarbonate, Potassium Chloride.",Healthy,Liver Cancer
BaileyWaterBottle,images/BaileyWaterBottle.jpeg,Water Bottle,Packaging,"Magnisium Sulphate, Potassium Bicarbonate, Potassium Chloride.",Healthy,Liver Cancer
BisleriWaterBottle,images/BisleriWaterBottle.jpeg,Water Bottle,Packaging,"Magnisium Sulphate, Potassium Bicarbonate, Potassium Chloride.",Healthy,Liver Cancer
GreenAquaWater,images/GreenAquaWater.jpeg,Water Bottle,Packaging,"Magnisium Sulphate, Potassium Bicarbonate, Potassium Chloride.",Healthy,Liver Cancer
AquaCoolWater,images/AquaCoolWater.jpeg,Water Bottle,Packaging,"Magnisium Sulphate, Potassium Bicarbonate, Potassium Chloride.",Healthy,Liver Cancer
ReliableFreshWater,images/ReliableFreshWater.jpeg,Water Bottle,Packaging,"Magnisium Sulphate, Potassium Bicarbonate, Potassium Chloride.",Healthy,Liver Cancer
SizzlinHotKurkure,images/SizzlinHotKurkure.jpeg,Kurkure,Packaging,"Rice Meal, Edible Vegetable Oil, Corn Meal, Gram Meal, Salt, Sugar, Tarteric, E631, Condiments.",Unhealthy,"High BP, Hypertension, Kidney disease, Risk of heart attack, and Stroke."
